Date,1 oz_Selling,1 oz_Buying,1/2 oz_Selling,1/2 oz_Buying,1/4 oz_Selling,1/4 oz_Buying
22.06.18,5396,5186,2749,2593,1400,1297
25.06.18,5404,5192,2753,2596,1402,1298
26.06.18,5398,5191,2750,2595,1400,1298
27.06.18,5374,5164,2738,2582,1394,1291
28.06.18,5365,5159,2733,2579,1392,1290
29.06.18,5356,5150,2728,2575,1389,1287
02.07.18,5362,5153,2731,2577,1391,1288
03.07.18,5329,5121,2715,2560,1383,1280
04.07.18,5393,5183,2748,2592,1399,1296
05.07.18,5391,5183,2747,2592,1399,1296
06.07.18,5397,5185,2749,2593,1400,1296
09.07.18,5379,5170,2740,2585,1396,1293
10.07.18,5372,5162,2737,2581,1394,1290
11.07.18,5369,5161,2735,2581,1393,1290
12.07.18,5328,5123,2714,2562,1382,1281
13.07.18,5345,5137,2723,2568,1387,1284
16.07.18,5331,5124,2716,2562,1383,1281
17.07.18,5323,5114,2712,2557,1381,1279
18.07.18,5283,5074,2691,2537,1370,1269
19.07.18,5279,5076,2689,2538,1370,1269
20.07.18,5273,5068,2686,2534,1368,1267
23.07.18,5296,5090,2698,2545,1374,1273
24.07.18,5274,5069,2687,2535,1368,1267
25.07.18,5280,5075,2690,2537,1370,1269
26.07.18,5297,5091,2698,2545,1374,1273
27.07.18,5282,5077,2691,2538,1370,1269
30.07.18,5270,5065,2685,2533,1367,1266
31.07.18,5262,5057,2681,2529,1365,1264
01.08.18,5278,5074,2689,2537,1369,1268
02.08.18,5254,5050,2676,2525,1363,1263
03.08.18,5234,5030,2666,2515,1358,1258
06.08.18,5253,5046,2676,2523,1363,1262
07.08.18,5236,5033,2668,2516,1358,1258
08.08.18,5238,5034,2668,2517,1359,1258
09.08.18,5245,5043,2672,2522,1361,1261
10.08.18,5251,5050,2675,2525,1362,1262
13.08.18,5257,5052,2678,2526,1364,1263
14.08.18,5181,4981,2639,2490,1344,1245
15.08.18,5190,4988,2644,2494,1346,1247
16.08.18,5103,4906,2599,2453,1324,1227
17.08.18,5104,4906,2600,2453,1324,1227
20.08.18,5155,4949,2626,2474,1337,1237
21.08.18,5179,4978,2638,2489,1344,1245
